epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.78321,1.50157,3.20503,1.77453,0.49584,0.28471,0.34749,0.16826,1.32044,2.68436,1.50456,0.000365117,0.000365117,0.000365117
2,14.2353,1.41323,2.54751,1.71467,0.60644,0.37724,0.36687,0.2205,1.25464,2.21977,1.58216,0.00072817,0.00072817,0.00072817
3,20.836,1.46117,2.40533,1.74029,0.51128,0.52432,0.43636,0.2163,1.44772,3.21127,1.81252,0.00108389,0.00108389,0.00108389
4,27.6412,1.49559,2.33069,1.75037,0.23473,0.44188,0.30809,0.16436,1.61295,3.03325,1.83779,0.001078,0.001078,0.001078
5,34.4349,1.45406,2.26079,1.71061,0.35799,0.55089,0.48558,0.25493,1.41595,2.68032,1.71669,0.001067,0.001067,0.001067
6,40.9019,1.46774,2.17699,1.71872,0.40124,0.40971,0.41848,0.25452,1.42101,1.98679,1.60263,0.00105601,0.00105601,0.00105601
7,47.3902,1.39893,2.12156,1.68873,0.79102,0.43859,0.484,0.22544,1.64422,1.86299,1.87756,0.00104501,0.00104501,0.00104501
8,53.9989,1.39111,2.03619,1.67623,0.57545,0.60929,0.63309,0.33999,1.56533,1.68069,1.76532,0.00103401,0.00103401,0.00103401
9,60.6009,1.3477,1.95798,1.62959,0.59252,0.52284,0.57723,0.32682,1.40889,1.76196,1.55677,0.00102301,0.00102301,0.00102301
10,67.38,1.35908,1.92115,1.63286,0.63948,0.69356,0.70753,0.44729,1.17088,1.49218,1.46102,0.00101201,0.00101201,0.00101201
11,73.9573,1.37274,1.84686,1.62689,0.50599,0.61885,0.55174,0.31651,1.4827,1.51559,1.72782,0.00100101,0.00100101,0.00100101
12,80.7101,1.3258,1.79899,1.59156,0.71873,0.77509,0.75386,0.45035,1.51152,1.40405,1.63241,0.000990012,0.000990012,0.000990012
13,87.5421,1.32484,1.7388,1.58621,0.73887,0.83172,0.8259,0.46556,1.48384,1.28417,1.72252,0.000979013,0.000979013,0.000979013
14,94.4149,1.29695,1.72972,1.58552,0.74336,0.78497,0.7674,0.44922,1.52235,1.29618,1.65736,0.000968014,0.000968014,0.000968014
15,101.3,1.299,1.66175,1.57315,0.6994,0.67162,0.70785,0.41245,1.4496,1.32038,1.60434,0.000957015,0.000957015,0.000957015
16,107.959,1.27005,1.62685,1.56626,0.95953,0.62944,0.79738,0.46812,1.51208,1.34747,1.67245,0.000946016,0.000946016,0.000946016
17,114.603,1.26698,1.60131,1.55441,0.74454,0.67483,0.72972,0.39786,1.55622,1.20215,1.71441,0.000935018,0.000935018,0.000935018
18,121.383,1.24461,1.57471,1.54919,0.62919,0.75793,0.75685,0.4541,1.37535,1.34424,1.60586,0.000924019,0.000924019,0.000924019
19,128.23,1.25549,1.55337,1.54202,0.69972,0.74904,0.76206,0.48907,1.27642,1.22062,1.52571,0.00091302,0.00091302,0.00091302
20,135.531,1.22265,1.48582,1.52497,0.82699,0.69262,0.80132,0.49191,1.48444,1.29138,1.62612,0.000902021,0.000902021,0.000902021
21,142.273,1.20668,1.49672,1.517,0.85787,0.7499,0.84278,0.52749,1.43016,1.21156,1.55711,0.000891022,0.000891022,0.000891022
22,149.179,1.21558,1.44471,1.50034,0.78647,0.83418,0.88295,0.49753,1.47862,1.10249,1.62564,0.000880023,0.000880023,0.000880023
23,156.239,1.22649,1.45056,1.51127,0.71101,0.83491,0.80698,0.46385,1.38669,1.2316,1.54493,0.000869024,0.000869024,0.000869024
24,163.371,1.1682,1.37392,1.48492,0.78731,0.77734,0.81373,0.4635,1.4691,1.15517,1.64076,0.000858025,0.000858025,0.000858025
25,170.444,1.20996,1.42475,1.51266,0.82045,0.65097,0.72011,0.39124,1.46293,1.29736,1.63507,0.000847026,0.000847026,0.000847026
26,177.426,1.18942,1.38718,1.48912,0.78809,0.77689,0.8562,0.54481,1.3674,1.08465,1.55185,0.000836027,0.000836027,0.000836027
27,184.414,1.18405,1.39682,1.49599,0.77454,0.86483,0.80941,0.56502,1.27615,1.12572,1.48224,0.000825029,0.000825029,0.000825029
28,191.565,1.17828,1.33869,1.47829,0.70375,0.83497,0.89087,0.53369,1.36607,1.07478,1.53098,0.00081403,0.00081403,0.00081403
29,198.645,1.13663,1.29275,1.47138,0.73108,0.86107,0.8392,0.50779,1.29533,0.98962,1.47764,0.000803031,0.000803031,0.000803031
30,205.756,1.1335,1.30596,1.44285,0.73305,0.79564,0.87378,0.53615,1.37191,1.02709,1.53997,0.000792032,0.000792032,0.000792032
31,212.769,1.13178,1.3081,1.46225,0.90551,0.72172,0.78903,0.50142,1.42484,1.08753,1.55994,0.000781033,0.000781033,0.000781033
