epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.40283,1.47266,3.40792,1.7443,0.5438,0.13078,0.14214,0.05744,1.29427,4.2641,1.61434,0.000467977,0.000467977,0.000467977
2,11.3236,1.49578,2.83036,1.75469,0.50588,0.20415,0.14742,0.05291,1.72389,5.87413,2.04364,0.000934961,0.000934961,0.000934961
3,16.251,1.51539,2.82264,1.76899,0.39891,0.07018,0.02564,0.01047,3.03253,30.77,5.62027,0.00139251,0.00139251,0.00139251
4,21.22,1.51862,2.66173,1.75141,0.76594,0.12661,0.11986,0.05856,1.60743,15.5412,1.98064,0.00138656,0.00138656,0.00138656
5,26.0839,1.50324,2.46523,1.70401,0.4764,0.27911,0.12586,0.05147,1.82141,7.2776,2.19716,0.00137241,0.00137241,0.00137241
6,31.4285,1.57127,2.49228,1.80697,0.49875,0.32695,0.18988,0.10419,1.802,3.66238,2.14091,0.00135826,0.00135826,0.00135826
7,36.4471,1.5023,2.42498,1.76149,0.57903,0.20096,0.23272,0.10978,1.6546,3.91975,1.87927,0.00134412,0.00134412,0.00134412
8,41.4242,1.46587,2.29422,1.70565,0.6727,0.25665,0.26083,0.11989,1.87852,2.57642,2.10635,0.00132997,0.00132997,0.00132997
9,46.5282,1.44156,2.25465,1.74384,0.54131,0.32217,0.25119,0.09154,1.82033,5.11092,2.23017,0.00131582,0.00131582,0.00131582
10,51.5777,1.44259,2.19649,1.70341,0.52974,0.26708,0.21086,0.10248,1.74679,8.64694,2.14381,0.00130168,0.00130168,0.00130168
11,56.777,1.39899,2.06609,1.66957,0.7601,0.22082,0.27365,0.14935,1.54411,2.58827,1.77638,0.00128753,0.00128753,0.00128753
12,61.8584,1.42905,2.12696,1.6921,0.64261,0.33597,0.32408,0.18198,1.54407,2.33582,1.75989,0.00127338,0.00127338,0.00127338
13,66.9288,1.41677,2.06052,1.64029,0.31421,0.36967,0.29069,0.16466,1.44499,3.16847,1.7016,0.00125923,0.00125923,0.00125923
14,72.1287,1.30244,1.90968,1.58206,0.25732,0.34097,0.24316,0.14543,1.48743,3.00743,1.63579,0.00124509,0.00124509,0.00124509
