epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,256.743,1.07215,1.00685,1.30108,0.88558,0.82769,0.89203,0.59643,1.27924,0.8625,1.28769,0.000990365,0.000990365,0.000990365
43,263.378,1.01558,0.9115,1.25727,0.87023,0.81092,0.86264,0.53714,1.37791,0.89513,1.30895,0.000973861,0.000973861,0.000973861
44,269.703,1.05245,0.92733,1.26578,0.92178,0.77867,0.87059,0.53506,1.33972,0.95842,1.29322,0.000957358,0.000957358,0.000957358
45,275.954,1.03312,0.91656,1.25464,0.83296,0.85783,0.86458,0.54737,1.33188,0.90033,1.27962,0.000940855,0.000940855,0.000940855
46,282.445,1.01627,0.89392,1.24006,0.91582,0.85928,0.89976,0.58708,1.31893,0.80782,1.27936,0.000924352,0.000924352,0.000924352
47,288.949,1.00026,0.88582,1.23259,0.86707,0.86558,0.90982,0.56126,1.34198,0.84249,1.26222,0.000907848,0.000907848,0.000907848
48,295.568,1.00004,0.86421,1.23328,0.88738,0.83678,0.87429,0.5434,1.35307,0.82176,1.29992,0.000891345,0.000891345,0.000891345
49,302.13,1.01945,0.86846,1.24,0.91578,0.79864,0.87274,0.54924,1.31836,0.84542,1.23766,0.000874842,0.000874842,0.000874842
50,308.965,0.9949,0.8714,1.23476,0.87344,0.83787,0.85505,0.57911,1.1875,0.89661,1.18613,0.000858338,0.000858338,0.000858338
51,315.315,1.00957,0.92669,1.25701,0.90712,0.88472,0.88698,0.59257,1.26781,0.87623,1.28641,0.000841835,0.000841835,0.000841835
52,321.708,0.96066,0.81449,1.2175,0.88376,0.85455,0.89192,0.56889,1.30212,0.80137,1.30403,0.000825332,0.000825332,0.000825332
53,328.059,0.99364,0.82987,1.23624,0.89634,0.83489,0.87593,0.57853,1.26504,0.94911,1.25874,0.000808828,0.000808828,0.000808828
54,334.701,0.98881,0.85894,1.21839,0.88026,0.85455,0.85911,0.56751,1.30372,0.88669,1.2793,0.000792325,0.000792325,0.000792325
55,341.05,0.93267,0.82253,1.1979,0.91145,0.75455,0.81598,0.52974,1.26185,0.9058,1.30277,0.000775822,0.000775822,0.000775822
56,347.519,0.94348,0.79227,1.20408,0.79026,0.86454,0.88887,0.6008,1.236,0.80092,1.22905,0.000759318,0.000759318,0.000759318
57,354.22,0.95387,0.82138,1.20703,0.9537,0.74554,0.88619,0.59392,1.18799,0.85113,1.21779,0.000742815,0.000742815,0.000742815
58,361.638,0.97058,0.79088,1.2219,0.88312,0.84925,0.88192,0.61447,1.15444,0.83407,1.19643,0.000726312,0.000726312,0.000726312
59,368.438,0.94321,0.82119,1.19,0.85118,0.88788,0.90083,0.60716,1.20228,0.78295,1.22617,0.000709809,0.000709809,0.000709809
60,375.199,0.92279,0.80134,1.21293,0.88602,0.83788,0.93818,0.64316,1.21596,0.72845,1.21577,0.000693305,0.000693305,0.000693305
61,381.943,0.92345,0.79349,1.18621,0.86562,0.82121,0.89099,0.59913,1.22461,0.77488,1.22857,0.000676802,0.000676802,0.000676802
62,388.522,0.92082,0.77983,1.19012,0.8669,0.87121,0.87291,0.59824,1.15889,0.84492,1.18325,0.000660299,0.000660299,0.000660299
63,395.918,0.88721,0.7616,1.15961,0.85764,0.86937,0.89436,0.63303,1.13036,0.80825,1.14044,0.000643795,0.000643795,0.000643795
64,403.214,0.87036,0.76072,1.1556,0.84781,0.90455,0.88853,0.61317,1.12688,0.7845,1.1537,0.000627292,0.000627292,0.000627292
65,410.051,0.92357,0.81508,1.19981,0.86621,0.82121,0.85685,0.59489,1.15799,0.83521,1.18508,0.000610789,0.000610789,0.000610789
66,416.905,0.87591,0.72054,1.16095,0.80251,0.88702,0.896,0.61352,1.14748,0.78847,1.15867,0.000594286,0.000594286,0.000594286
67,423.694,0.89998,0.72015,1.17921,0.87878,0.83788,0.89126,0.60798,1.15633,0.71475,1.16659,0.000577782,0.000577782,0.000577782
68,430.482,0.88306,0.76789,1.17287,0.94135,0.77121,0.87606,0.63513,1.05381,0.80056,1.13781,0.000561279,0.000561279,0.000561279
69,436.988,0.84396,0.72709,1.15949,0.84297,0.83788,0.85802,0.63323,1.09151,0.86138,1.15079,0.000544776,0.000544776,0.000544776
70,443.499,0.83031,0.72754,1.14012,0.95131,0.77009,0.88244,0.63359,1.10766,0.88283,1.13788,0.000528272,0.000528272,0.000528272
71,450.019,0.81367,0.66595,1.12842,0.84653,0.83788,0.86379,0.60202,1.15643,0.92532,1.17803,0.000511769,0.000511769,0.000511769
72,456.573,0.84836,0.72845,1.16011,0.92883,0.75455,0.82511,0.57884,1.12783,0.9821,1.17049,0.000495266,0.000495266,0.000495266
73,463.113,0.85619,0.69674,1.15616,0.87993,0.80455,0.85163,0.59427,1.11655,0.94361,1.14976,0.000478762,0.000478762,0.000478762
74,469.608,0.86828,0.77635,1.16299,0.89768,0.81492,0.85654,0.62661,1.10192,0.91651,1.13837,0.000462259,0.000462259,0.000462259
75,475.99,0.85743,0.71942,1.15376,0.85499,0.82121,0.87464,0.62377,1.10758,0.95131,1.15005,0.000445756,0.000445756,0.000445756
