epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.88239,1.50942,3.14132,1.79167,0.92025,0.29632,0.42709,0.28575,1.18756,2.53281,1.56434,0.000363948,0.000363948,0.000363948
2,12.7036,1.39478,2.41431,1.72577,0.90627,0.38824,0.44965,0.281,1.42417,2.54445,1.77587,0.000727012,0.000727012,0.000727012
3,18.5332,1.4294,2.32471,1.74512,0.83937,0.3,0.40367,0.20633,1.52425,3.53234,2.0809,0.00108274,0.00108274,0.00108274
4,24.4222,1.38685,2.25087,1.7047,0.87774,0.314,0.38379,0.22986,1.49665,2.66669,2.00594,0.001078,0.001078,0.001078
5,30.4033,1.406,2.14906,1.71059,0.57668,0.45552,0.50696,0.27851,1.39629,2.3939,1.83543,0.001067,0.001067,0.001067
6,36.2875,1.35387,2.04181,1.65807,0.52349,0.39177,0.41155,0.20524,1.57474,2.42919,1.78916,0.00105601,0.00105601,0.00105601
7,42.3366,1.37057,2.04664,1.65602,0.81241,0.45103,0.53681,0.34068,1.28367,1.76409,1.61659,0.00104501,0.00104501,0.00104501
8,48.5104,1.33177,1.91553,1.63354,0.63645,0.42389,0.49896,0.31925,1.36228,1.90062,1.74719,0.00103401,0.00103401,0.00103401
9,54.6198,1.34201,1.95221,1.66466,0.50688,0.70545,0.69053,0.34999,1.59108,1.92221,1.95401,0.00102301,0.00102301,0.00102301
10,60.5214,1.31674,1.87707,1.63007,0.95314,0.43395,0.57243,0.34873,1.3605,1.67925,1.78009,0.00101201,0.00101201,0.00101201
11,66.6945,1.28819,1.79823,1.60113,0.67855,0.5681,0.55069,0.35362,1.14864,1.90892,1.50719,0.00100101,0.00100101,0.00100101
12,72.8836,1.29315,1.81062,1.61045,0.60813,0.49535,0.55202,0.28637,1.39933,2.33955,1.71981,0.000990012,0.000990012,0.000990012
